iter	Passed	Remaining
0	202	202244
1	237	118641
2	260	86596
3	276	68817
4	291	58005
5	328	54340
6	348	49475
7	370	45885
8	386	42598
9	405	40100
10	419	37687
11	455	37481
12	498	37854
13	516	36349
14	535	35155
15	570	35067
16	595	34440
17	619	33786
18	638	32941
19	675	33120
20	695	32429
21	711	31610
22	729	30973
23	749	30474
24	767	29915
25	789	29582
26	813	29313
27	832	28898
28	863	28901
29	900	29117
30	922	28835
31	939	28427
32	957	28043
33	974	27688
34	988	27266
35	1007	26965
36	1032	26876
37	1048	26552
38	1066	26267
39	1079	25914
40	1102	25779
41	1124	25639
42	1158	25788
43	1175	25546
44	1191	25293
45	1210	25107
46	1250	25361
47	1279	25382
48	1317	25567
49	1338	25437
50	1376	25604
51	1395	25445
52	1411	25222
53	1427	25006
54	1443	24809
55	1462	24647
56	1483	24540
57	1505	24446
58	1526	24344
59	1546	24227
60	1565	24099
61	1586	23999
62	1608	23917
63	1625	23776
64	1641	23608
65	1655	23432
66	1670	23268
67	1703	23353
68	1726	23296
69	1745	23193
70	1764	23092
71	1800	23208
72	1819	23107
73	1835	22972
74	1855	22880
75	1868	22722
76	1883	22578
77	1898	22444
78	1913	22305
79	1931	22214
80	1945	22072
81	1961	21958
82	1978	21861
83	1994	21753
84	2008	21626
85	2027	21550
86	2048	21495
87	2070	21460
88	2090	21396
89	2132	21557
90	2150	21476
91	2185	21570
92	2200	21462
93	2214	21348
94	2231	21258
95	2248	21175
96	2267	21113
97	2288	21064
98	2344	21340
99	2362	21266
100	2381	21201
101	2400	21136
102	2419	21071
103	2435	20978
104	2449	20881
105	2464	20782
106	2500	20866
107	2518	20797
108	2540	20763
109	2561	20721
110	2578	20654
111	2596	20589
112	2620	20569
113	2640	20524
114	2658	20460
115	2677	20404
116	2690	20302
117	2706	20232
118	2727	20189
119	2769	20307
120	2788	20254
121	2808	20213
122	2836	20222
123	2859	20199
124	2883	20184
125	2899	20115
126	2915	20040
127	2932	19977
128	2951	19927
129	2969	19872
130	2984	19797
131	3017	19839
132	3039	19813
133	3058	19767
134	3078	19723
135	3100	19699
136	3115	19627
137	3129	19550
138	3149	19509
139	3164	19441
140	3178	19361
141	3217	19439
142	3232	19369
143	3258	19370
144	3273	19303
145	3298	19291
146	3313	19226
147	3332	19184
148	3349	19133
149	3367	19084
150	3382	19019
151	3398	18958
152	3413	18895
153	3431	18851
154	3473	18938
155	3493	18899
156	3515	18875
157	3534	18837
158	3561	18835
159	3576	18776
160	3589	18706
161	3630	18777
162	3649	18738
163	3671	18714
164	3698	18718
165	3722	18703
166	3744	18679
167	3766	18652
168	3786	18617
169	3805	18579
170	3819	18517
171	3837	18474
172	3857	18440
173	3873	18387
174	3889	18334
175	3914	18325
176	3933	18288
177	3952	18254
178	3972	18220
179	3994	18195
180	4014	18164
181	4035	18136
182	4052	18092
183	4068	18043
184	4084	17995
185	4100	17943
186	4117	17900
187	4136	17865
188	4173	17906
189	4192	17871
190	4213	17846
191	4235	17825
192	4252	17779
193	4270	17741
194	4290	17711
195	4308	17674
196	4322	17619
197	4339	17575
