iter	Passed	Remaining
0	158	158083
1	190	95238
2	218	72580
3	244	60869
4	268	53463
5	292	48472
6	329	46734
7	353	43852
8	385	42406
9	417	41301
10	441	39678
11	466	38387
12	493	37484
13	522	36793
14	550	36146
15	573	35273
16	601	34764
17	630	34397
18	652	33690
19	678	33230
20	704	32827
21	728	32390
22	754	32050
23	784	31914
24	819	31956
25	854	32022
26	893	32213
27	921	31984
28	948	31765
29	973	31486
30	1002	31345
31	1033	31269
32	1072	31417
33	1102	31319
34	1131	31203
35	1156	30964
36	1180	30736
37	1205	30527
38	1231	30357
39	1265	30376
40	1297	30354
41	1335	30464
42	1369	30471
43	1397	30355
44	1421	30165
45	1444	29957
46	1472	29855
47	1501	29772
48	1534	29778
49	1563	29705
50	1596	29705
51	1625	29638
52	1652	29519
53	1674	29333
54	1700	29219
55	1730	29175
56	1759	29116
57	1793	29127
58	1828	29160
59	1853	29042
60	1893	29150
61	1923	29097
62	1942	28893
63	1967	28769
64	1992	28655
65	2016	28536
66	2039	28400
67	2061	28252
68	2087	28172
69	2118	28142
70	2147	28100
71	2176	28056
72	2206	28015
73	2231	27922
74	2255	27822
75	2288	27819
76	2318	27787
77	2345	27730
78	2374	27682
79	2400	27606
80	2421	27471
81	2447	27405
82	2474	27339
83	2500	27264
84	2524	27174
85	2554	27151
86	2587	27155
87	2619	27148
88	2646	27093
89	2673	27035
90	2699	26960
91	2727	26923
92	2760	26919
93	2794	26933
94	2830	26965
95	2864	26970
96	2894	26942
97	2920	26882
98	2949	26841
99	2979	26818
100	3010	26794
101	3036	26730
102	3063	26680
103	3091	26636
104	3117	26575
105	3143	26508
106	3164	26412
107	3190	26351
108	3217	26303
109	3243	26245
110	3274	26226
111	3301	26179
112	3331	26153
113	3363	26141
114	3391	26102
115	3417	26039
116	3446	26008
117	3470	25942
118	3500	25918
119	3528	25875
120	3559	25857
121	3585	25801
122	3606	25712
123	3639	25714
124	3659	25614
125	3682	25545
126	3703	25458
127	3728	25398
128	3751	25329
129	3779	25293
130	3802	25227
131	3829	25182
132	3855	25130
133	3872	25025
134	3898	24977
135	3926	24944
136	3948	24874
137	3968	24785
138	3995	24747
139	4025	24725
140	4057	24720
141	4086	24692
142	4113	24649
143	4141	24616
144	4172	24602
145	4203	24589
146	4238	24593
147	4255	24495
148	4278	24438
149	4301	24374
150	4323	24306
151	4350	24269
152	4379	24242
153	4406	24204
154	4435	24182
155	4464	24155
156	4488	24100
157	4504	24005
158	4523	23926
159	4540	23835
160	4566	23796
161	4595	23772
162	4620	23725
163	4649	23701
164	4675	23658
165	4696	23597
166	4718	23535
167	4749	23521
168	4768	23446
169	4791	23392
170	4816	23347
171	4842	23309
172	4863	23249
173	4880	23167
174	4899	23099
175	4922	23046
176	4944	22991
177	4965	22930
178	4983	22855
179	5003	22795
180	5025	22740
181	5047	22685
182	5065	22615
183	5085	22554
184	5108	22506
185	5132	22462
186	5160	22435
187	5185	22399
188	5219	22398
189	5252	22394
190	5287	22396
191	5315	22369
192	5341	22334
193	5362	22278
194	5383	22226
195	5406	22176
196	5433	22147
197	5458	22110
198	5492	22107
199	5518	22074
200	5538	22016
201	5565	21986
202	5586	21933
203	5606	21875
204	5627	21823
205	5642	21747
206	5670	21724
207	5695	21687
208	5721	21654
209	5744	21609
210	5771	21580
211	5794	21536
212	5814	21483
213	5836	21436
214	5863	21408
215	5886	21364
216	5909	21322
217	5938	21302
218	5968	21284
219	5997	21262
220	6030	21258
221	6054	21219
222	6081	21188
223	6104	21147
224	6127	21104
225	6147	21054
226	6171	21017
227	6194	20974
228	6217	20933
229	6240	20890
230	6258	20834
231	6327	20947
232	6359	20935
233	6387	20910
234	6412	20873
235	6431	20821
236	6464	20811
237	6484	20762
238	6504	20712
239	6527	20669
240	6546	20616
241	6586	20630
242	6614	20606
243	6641	20578
244	6668	20549
245	6694	20519
246	6723	20498
247	6750	20468
248	6773	20428
249	6800	20401
250	6827	20373
251	6852	20338
252	6882	20321
253	6909	20293
254	6935	20262
255	6962	20235
256	6989	20205
257	7016	20180
258	7045	20157
259	7069	20119
260	7090	20076
261	7113	20037
262	7136	19997
263	7161	19965
264	7187	19935
265	7214	19907
266	7245	19890
267	7278	19881
268	7311	19869
269	7340	19846
270	7371	19828
271	7407	19826
272	7438	19809
273	7480	19820
274	7520	19827
275	7548	19800
276	7599	19836
277	7632	19821
278	7666	19812
279	7698	19795
280	7734	19789
281	7770	19785
282	7803	19771
283	7842	19770
284	7875	19756
285	7906	19739
286	7940	19725
287	7970	19705
288	8004	19691
289	8034	19671
290	8067	19655
291	8099	19638
292	8131	19621
293	8164	19606
294	8193	19581
295	8220	19550
296	8248	19525
297	8270	19482
298	8295	19449
299	8320	19415
300	8349	19390
301	8375	19357
302	8398	19318
303	8425	19289
304	8457	19272
305	8487	19249
306	8517	19225
307	8547	19203
308	8576	19178
309	8598	19139
310	8623	19104
311	8647	19068
312	8673	19037
313	8702	19012
314	8726	18977
315	8753	18947
316	8781	18920
317	8814	18903
318	8848	18888
319	8879	18869
320	8914	18855
321	8947	18839
322	8977	18816
323	9006	18792
324	9033	18761
325	9058	18727
326	9081	18690
327	9106	18656
328	9128	18617
329	9152	18583
330	9180	18555
331	9207	18526
332	9231	18489
333	9258	18460
334	9280	18423
335	9309	18396
336	9334	18365
337	9373	18359
338	9398	18325
339	9427	18300
340	9454	18270
341	9477	18233
342	9496	18190
343	9521	18156
344	9543	18119
345	9571	18091
346	9593	18053
347	9630	18044
348	9657	18015
349	9682	17982
350	9706	17946
351	9726	17904
352	9748	17866
353	9777	17842
354	9805	17815
355	9832	17786
356	9859	17757
357	9884	17726
358	9911	17696
359	9933	17658
360	9950	17613
361	9972	17575
362	9990	17530
363	10013	17496
364	10034	17457
365	10051	17411
366	10074	17375
367	10090	17328
368	10115	17298
369	10134	17256
370	10168	17239
371	10191	17205
372	10208	17160
373	10244	17147
374	10264	17106
375	10286	17071
376	10312	17041
377	10339	17014
378	10363	16980
379	10390	16952
380	10423	16935
381	10457	16917
382	10486	16892
383	10514	16866
384	10546	16846
385	10579	16827
386	10606	16800
387	10636	16776
388	10665	16752
389	10686	16715
390	10708	16678
391	10732	16647
392	10755	16612
393	10785	16588
394	10814	16564
395	10844	16541
396	10875	16518
397	10906	16496
398	10931	16466
399	10955	16433
400	10971	16389
401	10992	16351
402	11022	16327
403	11053	16305
404	11083	16283
405	11112	16258
406	11143	16235
407	11165	16200
408	11187	16165
409	11202	16120
410	11225	16087
411	11254	16062
412	11285	16040
413	11319	16022
414	11353	16004
415	11384	15982
